asteroidLabel,discovered,discovererLabel
2023 HT4,2023-04-24T00:00:00Z,Mount Lemmon Survey
2023 GQ2,2023-04-12T00:00:00Z,Bok Telescope
2023 FY3,2023-03-25T00:00:00Z,Catalina Sky Survey
2023 FY3,2023-03-25T00:00:00Z,Kacper Wierzchoś
2023 DZ2,2023-02-27T00:00:00Z,http://www.wikidata.org/.well-known/genid/1fc11aca1fac426d0763053510afd316
2023 CX₁,2023-02-12T00:00:00Z,Krisztián Sárneczky
2023 BU,2023-01-21T00:00:00Z,Gennady Borisov
2022 YG,2022-12-15T00:00:00Z,Gennady Borisov
2022 WJ1,2022-11-19T00:00:00Z,Mount Lemmon Survey
2022 WJ1,2022-11-19T00:00:00Z,David Rankin
2022 EB5,2022-03-11T00:00:00Z,Krisztián Sárneczky
Q117353114,2022-02-22T00:00:00Z,Erwin Schwab
2022 AP7,2022-01-13T00:00:00Z,Scott S. Sheppard
2022 AE1,2022-01-06T00:00:00Z,Mount Lemmon Survey
620108 (2021 AX7),2021-01-15T00:00:00Z,Mount Lemmon Survey
(614689) 2020 XL5,2020-12-12T00:00:00Z,Pan-STARRS
2020 SW,2020-09-18T00:00:00Z,Mount Lemmon Survey
2020 SO,2020-09-17T00:00:00Z,Pan-STARRS
2020 HA10,2020-04-28T00:00:00Z,Mount Lemmon Survey
2020 CD3,2020-02-15T00:00:00Z,Mount Lemmon Survey
2020 CD3,2020-02-15T00:00:00Z,Kacper Wierzchoś
2020 CD3,2020-02-15T00:00:00Z,Theodore Pruyne
2018 VG₁₈,2018-11-10T00:00:00Z,Scott S. Sheppard
2018 VG₁₈,2018-11-10T00:00:00Z,Chadwick Trujillo
2018 VG₁₈,2018-11-10T00:00:00Z,David J. Tholen
2018 VP1,2018-11-03T00:00:00Z,Zwicky Transient Facility
2018 LA,2018-06-02T00:00:00Z,Mount Lemmon Survey
2018 GE3,2018-04-14T00:00:00Z,Catalina Sky Survey
2018 FC4,2018-03-21T00:00:00Z,Mount Lemmon Survey
2018 EC4,2018-03-10T00:00:00Z,Mount Lemmon Survey
2018 DV1,2018-02-26T00:00:00Z,Mount Lemmon Survey
2018 CN2,2018-02-08T00:00:00Z,Mount Lemmon Survey
2018 CF2,2018-02-07T00:00:00Z,Mount Lemmon Survey
2018 CB,2018-02-04T00:00:00Z,Catalina Sky Survey
2018 AH,2018-01-04T00:00:00Z,Asteroid Terrestrial-impact Last Alert System
2018 CC,2018-01-01T00:00:00Z,Catalina Sky Survey
2017 YZ1,2017-12-20T00:00:00Z,Mount Lemmon Survey
2017 SX17,2017-09-29T00:00:00Z,Mount Lemmon Survey
618349 Williekoorts,2017-09-25T00:00:00Z,Asteroid Terrestrial-impact Last Alert System
2017 FZ2,2017-03-19T00:00:00Z,Mount Lemmon Survey
2017 DR109,2017-02-27T00:00:00Z,Catalina Sky Survey
(467028) 2016 CD189,2017-01-28T00:00:00Z,Mount Lemmon Survey
2017 AG13,2017-01-07T00:00:00Z,Catalina Sky Survey
2017 BQ6,2017-01-01T00:00:00Z,Lincoln Near-Earth Asteroid Research
2017 MB7,2017-01-01T00:00:00Z,Pan-STARRS
2016 WF9,2016-11-27T00:00:00Z,Wide-field Infrared Survey Explorer
2016 PQ,2016-08-02T00:00:00Z,Pan-STARRS
2016 EU85,2016-03-10T00:00:00Z,Pan-STARRS
2016 CP31,2016-02-07T00:00:00Z,Catalina Sky Survey
(506121) 2016 BP81,2016-01-27T00:00:00Z,Kepler
2016 WF9,2016-01-01T00:00:00Z,Wide-field Infrared Survey Explorer
(523797) 2016 NM56,2016-01-01T00:00:00Z,Pan-STARRS
2016 CD289,2016-01-01T00:00:00Z,Scott S. Sheppard
(400187) 2006 WK187,2015-12-08T00:00:00Z,Mount Lemmon Survey
2015 TH367,2015-10-13T00:00:00Z,Scott S. Sheppard
541132 Leleākūhonua,2015-10-13T00:00:00Z,Scott S. Sheppard
541132 Leleākūhonua,2015-10-13T00:00:00Z,Chadwick Trujillo
541132 Leleākūhonua,2015-10-13T00:00:00Z,David J. Tholen
2015 TB145,2015-10-10T00:00:00Z,Pan-STARRS
(523794) 2015 RR245,2015-09-09T00:00:00Z,John J. Kavelaars
2015 RY245,2015-09-09T00:00:00Z,Outer Solar System Origins Survey
2015 KH163,2015-05-24T00:00:00Z,Outer Solar System Origins Survey
2015 KH162,2015-05-18T00:00:00Z,Scott S. Sheppard
2015 KH162,2015-05-18T00:00:00Z,Chadwick Trujillo
2015 KH162,2015-05-18T00:00:00Z,David J. Tholen
2015 HM10,2015-04-19T00:00:00Z,The Dark Energy Survey
2015 BP519,2015-01-17T00:00:00Z,The Dark Energy Survey
(541001) 2017 XF58,2015-01-17T00:00:00Z,Spacewatch
(495603) 2015 AM281,2015-01-01T00:00:00Z,Pan-STARRS
2015 GT50,2015-01-01T00:00:00Z,Outer Solar System Origins Survey
2015 KG163,2015-01-01T00:00:00Z,Outer Solar System Origins Survey
2015 FJ345,2015-01-01T00:00:00Z,Scott S. Sheppard
2015 RK258,2015-01-01T00:00:00Z,Scott S. Sheppard
(523775) 2014 YB35,2014-12-27T00:00:00Z,Catalina Sky Survey
2014 XL7,2014-12-11T00:00:00Z,Mount Lemmon Survey
514107 Kaʻepaokaʻāwela,2014-11-26T00:00:00Z,Pan-STARRS1
2014 UR116,2014-10-01T00:00:00Z,Mount Lemmon Survey
(505657) 2014 SR339,2014-09-30T00:00:00Z,Wide-field Infrared Survey Explorer
2014 RC,2014-08-31T00:00:00Z,Catalina Sky Survey
(523719) 2014 LM28,2014-08-29T00:00:00Z,Pan-STARRS
(483002) 2014 QS441,2014-08-19T00:00:00Z,The Dark Energy Survey
2014 UZ224,2014-08-19T00:00:00Z,The Dark Energy Survey
2014 OS393,2014-07-30T00:00:00Z,Hubble Space Telescope
2014 OL339,2014-07-29T00:00:00Z,EURONEAR
2014 LY21,2014-06-02T00:00:00Z,Mount Lemmon Survey
2014 JO25,2014-05-05T00:00:00Z,Mount Lemmon Survey
2014 HQ124,2014-04-23T00:00:00Z,Wide-field Infrared Survey Explorer
2012 VP113,2014-03-26T00:00:00Z,Scott S. Sheppard
2012 VP113,2014-03-26T00:00:00Z,Chadwick Trujillo
(523692) 2014 EZ51,2014-03-12T00:00:00Z,Haleakalā Observatory
2014 EC,2014-03-05T00:00:00Z,Catalina Sky Survey
2014 DX110,2014-02-28T00:00:00Z,Pan-STARRS
2014 AF5,2014-01-02T00:00:00Z,Catalina Sky Survey
2014 AA,2014-01-01T00:00:00Z,Richard Kowalski
2014 OS393,2014-01-01T00:00:00Z,Hubble Space Telescope
(556416) 2014 OE394,2014-01-01T00:00:00Z,Pan-STARRS
(533508) 2014 HC200,2014-01-01T00:00:00Z,Pan-STARRS
2014 SR349,2014-01-01T00:00:00Z,Scott S. Sheppard
2014 FC72,2014-01-01T00:00:00Z,Pan-STARRS
(556004) 2014 HA200,2014-01-01T00:00:00Z,Pan-STARRS
(523760) 2014 WQ509,2014-01-01T00:00:00Z,Pan-STARRS
2014 OJ394,2014-01-01T00:00:00Z,Pan-STARRS
(523777) 2014 YF50,2014-01-01T00:00:00Z,Pan-STARRS
(556068) 2014 JR80,2014-01-01T00:00:00Z,Pan-STARRS
2014 KA102,2014-01-01T00:00:00Z,Pan-STARRS
(523768) 2014 WQ510,2014-01-01T00:00:00Z,Pan-STARRS
(523735) 2014 QX441,2014-01-01T00:00:00Z,Pan-STARRS
(535228) 2014 YE50,2014-01-01T00:00:00Z,Pan-STARRS
(523749) 2014 UR224,2014-01-01T00:00:00Z,Pan-STARRS
(533560) 2014 JM80,2014-01-01T00:00:00Z,Pan-STARRS
